puerto,estado
911,(abierto)
912,(abierto)
913,(abierto)
914,(abierto)
915,(abierto)
916,(abierto)
917,(abierto)
918,(abierto)
919,(abierto)
920,(abierto)
921,(abierto)
922,(abierto)
923,(abierto)
924,(abierto)
925,(abierto)
926,(abierto)
927,(abierto)
928,(abierto)
929,(abierto)
930,(abierto)
931,(abierto)
932,(abierto)
933,(abierto)
934,(abierto)
935,(abierto)
936,(abierto)
937,(abierto)
938,(abierto)
939,(abierto)
940,(abierto)
941,(abierto)
942,(abierto)
943,(abierto)
944,(abierto)
945,(abierto)
946,(abierto)
947,(abierto)
948,(abierto)
949,(abierto)
950,(abierto)
951,(abierto)
952,(abierto)
953,(abierto)
954,(abierto)
955,(abierto)
956,(abierto)
957,(abierto)
958,(abierto)
959,(abierto)
960,(abierto)
961,(abierto)
962,(abierto)
963,(abierto)
964,(abierto)
965,(abierto)
966,(abierto)
967,(abierto)
968,(abierto)
969,(abierto)
970,(abierto)
971,(abierto)
972,(abierto)
973,(abierto)
974,(abierto)
975,(abierto)
976,(abierto)
977,(abierto)
978,(abierto)
979,(abierto)
980,(abierto)
981,(abierto)
982,(abierto)
983,(abierto)
984,(abierto)
985,(abierto)
986,(abierto)
987,(abierto)
988,(abierto)
989,(abierto)
990,(abierto)
991,(abierto)
992,(abierto)
993,(abierto)
994,(abierto)
995,(abierto)
996,(abierto)
997,(abierto)
998,(abierto)
999,(abierto)
1000,(abierto)
